id,name,score
1,Alice,56
2,Bob,69
3,Charlie,82
4,David,57
5,Eve,79
6,Frank,72
7,Grace,67
8,Henry,72
9,Ivy,78
10,Jack,57
11,Karen,62
12,Leo,60
13,Mia,76
14,Noah,60
15,Olivia,89
16,Paul,77
17,Quinn,96
18,Rose,79
19,Sam,69
20,Tina,97
21,Uma,95
22,Victor,77
23,Wendy,69
24,Xander,72
25,Yara,81
26,Zack,89
27,Amy,56
28,Brian,64
29,Clara,72
30,Dan,84
31,Ella,65
32,Fred,60
33,Gina,65
34,Hank,67
35,Iris,57
36,Jake,79
37,Kara,59
38,Liam,65
39,Maya,98
40,Nick,77
41,Opal,90
42,Pete,100
43,Rita,79
44,Sean,72
45,Tara,71
46,Uri,98
47,Vera,68
48,Walt,91
49,Xena,95
50,Yuki,76
51,Zoe,68
52,Alan,78
53,Beth,69
54,Carl,94
55,Dana,73
56,Eric,99
57,Faye,90
58,Glen,68
59,Hope,89
60,Ivan,61
61,Jade,93
62,Kyle,60
63,Luna,70
64,Mark,93
65,Nora,56
66,Owen,63
67,Pam,92
68,Rex,95
69,Sara,73
70,Todd,72
71,Una,83
72,Vince,93
73,Wade,95
74,Xiao,90
75,Yuna,65
76,Zara,99
77,Abel,61
78,Bea,84
79,Cory,55
80,Dawn,69
81,Eli,99
82,Flora,87
83,Gus,78
84,Hana,96
85,Ian,89
86,Jess,97
87,Keon,59
88,Lara,84
89,Mel,99
90,Ned,95
91,Ora,69
92,Phil,98
93,Remi,82
94,Sal,62
95,Teo,61
96,Ursa,70
97,Val,92
98,Wren,61
99,Xiu,54
100,Yael,60
